20/12/20 10:05:11.68:   Get current data
20/12/20 10:05:13.02:   Film done 458 / 518
20/12/20 10:05:13.02:   Film done 459 / 518
20/12/20 10:05:13.02:   Film done 460 / 518
20/12/20 10:05:13.02:   Film done 461 / 518
20/12/20 10:05:13.02:   Film done 462 / 518
20/12/20 10:05:13.02:   Film done 463 / 518
20/12/20 10:05:13.02:   Film done 464 / 518
20/12/20 10:05:13.02:   Film done 465 / 518
20/12/20 10:05:13.02:   Film done 466 / 518
20/12/20 10:05:13.02:   Film done 467 / 518
20/12/20 10:05:13.02:   Film done 468 / 518
20/12/20 10:05:13.02:   Film done 469 / 518
20/12/20 10:05:13.02:   Film done 470 / 518
20/12/20 10:05:13.02:   Film done 471 / 518
20/12/20 10:05:13.02:   Film done 472 / 518
20/12/20 10:05:13.02:   Film done 473 / 518
20/12/20 10:05:13.02:   Film done 474 / 518
20/12/20 10:05:13.02:   Film done 475 / 518
20/12/20 10:05:13.02:   Film done 476 / 518
20/12/20 10:05:13.02:   Film done 477 / 518
20/12/20 10:05:13.02:   Film done 478 / 518
20/12/20 10:05:13.02:   Film done 479 / 518
20/12/20 10:05:13.02:   Film done 480 / 518
20/12/20 10:05:13.02:   Film done 481 / 518
20/12/20 10:05:13.02:   Film done 482 / 518
20/12/20 10:05:13.02:   Film done 483 / 518
20/12/20 10:05:13.02:   Film done 484 / 518
20/12/20 10:05:13.02:   Film done 485 / 518
20/12/20 10:05:13.02:   Film done 486 / 518
20/12/20 10:05:13.02:   Film done 487 / 518
20/12/20 10:05:13.02:   Film done 488 / 518
20/12/20 10:05:13.02:   Film done 489 / 518
20/12/20 10:05:13.02:   Film done 490 / 518
20/12/20 10:05:13.02:   Film done 491 / 518
20/12/20 10:05:13.02:   Film done 492 / 518
20/12/20 10:05:13.02:   Film done 493 / 518
20/12/20 10:05:13.02:   Film done 494 / 518
20/12/20 10:05:13.02:   Film done 495 / 518
20/12/20 10:05:13.02:   Film done 496 / 518
20/12/20 10:05:13.03:   Film done 497 / 518
20/12/20 10:05:13.03:   Film done 498 / 518
20/12/20 10:05:13.03:   Film done 499 / 518
20/12/20 10:05:13.03:   Film done 500 / 518
20/12/20 10:05:13.03:   Film done 501 / 518
20/12/20 10:05:13.03:   Film done 502 / 518
20/12/20 10:05:13.03:   Film done 503 / 518
20/12/20 10:05:13.03:   Film done 504 / 518
20/12/20 10:05:13.03:   Film done 505 / 518
20/12/20 10:05:13.03:   Film done 506 / 518
20/12/20 10:05:13.03:   Film done 507 / 518
20/12/20 10:05:13.03:   Film done 508 / 518
20/12/20 10:05:13.03:   Film done 509 / 518
20/12/20 10:05:13.03:   Film done 510 / 518
20/12/20 10:05:13.03:   Film done 511 / 518
20/12/20 10:05:13.03:   Film done 512 / 518
20/12/20 10:05:13.03:   Film done 513 / 518
20/12/20 10:05:13.03:   Film done 514 / 518
